PartnerID,PartnerName,PartnershipType,Contribution
1,"Scott, Whitehead and Wilkins",Co-Development,21% Funding
2,Perkins-Guerrero,Funding,31% Funding
3,Edwards PLC,Licensing,52% Funding
4,Montoya Inc,Funding,25% Funding
5,Craig and Sons,Licensing,20% Funding
6,"Massey, Haley and Walker",Funding,16% Funding
7,Anderson-Johnson,Licensing,12% Funding
8,Williams Ltd,Licensing,24% Funding
9,Davis-Wheeler,Co-Development,39% Funding
10,Coleman PLC,Licensing,29% Funding
11,Taylor-Edwards,Co-Development,24% Funding
12,Guzman-Beltran,Co-Development,52% Funding
13,"Abbott, Miller and Crawford",Co-Development,35% Funding
14,Green-Shelton,Licensing,27% Funding
15,Johnson-Whitaker,Co-Development,59% Funding
16,Wallace-Cruz,Licensing,32% Funding
17,"Mcmillan, Wilson and Hobbs",Funding,42% Funding
18,Hancock LLC,Licensing,53% Funding
19,"Guerrero, Reid and Bradley",Funding,31% Funding
20,Willis Ltd,Co-Development,17% Funding
21,Nunez Group,Licensing,21% Funding
22,"Taylor, Blankenship and Velez",Funding,26% Funding
23,Woods-Garza,Co-Development,16% Funding
24,"Giles, Jones and Robinson",Funding,37% Funding
25,Coleman Inc,Licensing,56% Funding
